sample_id	cram	crai	population
HG00290	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243152/HG00290.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243152/HG00290.final.cram.crai	FIN
HG00320	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240238/HG00320.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240238/HG00320.final.cram.crai	FIN
HG00321	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240239/HG00321.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240239/HG00321.final.cram.crai	FIN
HG00323	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240240/HG00323.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240240/HG00323.final.cram.crai	FIN
HG00329	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241797/HG00329.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241797/HG00329.final.cram.crai	FIN
HG00344	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240250/HG00344.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240250/HG00344.final.cram.crai	FIN
HG00350	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240254/HG00350.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240254/HG00350.final.cram.crai	FIN
HG01167	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241840/HG01167.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241840/HG01167.final.cram.crai	PUR
HG01530	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241936/HG01530.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241936/HG01530.final.cram.crai	IBS
HG01784	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242203/HG01784.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242203/HG01784.final.cram.crai	IBS
HG01786	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243159/HG01786.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243159/HG01786.final.cram.crai	IBS
HG02040	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242342/HG02040.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242342/HG02040.final.cram.crai	KHV
